HERO,WINRATE
Dark Seer,56.6%
Omniknight,56.1%
Bounty Hunter,55.9%
Winter Wyvern,54.9%
Shadow Shaman,54.6%
Abaddon,54.3%
Lich,54.0%
Enigma,53.8%
Bane,53.7%
Earthshaker,53.3%
Arc Warden,53.1%
Spectre,52.8%
Tidehunter,52.7%
Chen,52.7%
Night Stalker,52.6%
Puck,52.6%
Lion,52.4%
Tinker,52.3%
Keeper of the Light,52.3%
Lifestealer,52.3%
Ogre Magi,52.2%
Elder Titan,52.2%
Void Spirit,52.1%
Ringmaster,52.0%
Alchemist,52.0%
Visage,52.0%
Vengeful Spirit,51.7%
Io,51.7%
Viper,51.6%
Dawnbreaker,51.6%
Morphling,51.6%
Slark,51.6%
Phantom Lancer,51.6%
Earth Spirit,51.6%
Clockwerk,51.5%
Pugna,51.4%
Undying,51.4%
Crystal Maiden,51.3%
Clinkz,51.1%
Disruptor,51.0%
Lone Druid,50.9%
Axe,50.9%
Doom,50.9%
Phoenix,50.9%
Lina,50.8%
Ember Spirit,50.7%
Jakiro,50.6%
Underlord,50.6%
Primal Beast,50.6%
Brewmaster,50.6%
Shadow Demon,50.6%
Meepo,50.5%
Lycan,50.5%
Oracle,50.5%
Chaos Knight,50.5%
Kunkka,50.5%
Nyx Assassin,50.4%
Terrorblade,50.4%
Tiny,50.4%
Spirit Breaker,50.4%
Magnus,50.3%
Skywrath Mage,50.3%
Zeus,50.3%
Snapfire,50.3%
Monkey King,50.2%
Invoker,50.2%
Kez,50.1%
Centaur Warrunner,50.1%
Leshrac,50.1%
Marci,50.0%
Dragon Knight,50.0%
Ursa,50.0%
Weaver,49.9%
Slardar,49.9%
Anti-Mage,49.7%
Gyrocopter,49.7%
Faceless Void,49.4%
Bloodseeker,49.4%
Legion Commander,49.4%
Timbersaw,49.3%
Dark Willow,49.2%
Treant Protector,49.1%
Razor,49.1%
Phantom Assassin,49.1%
Drow Ranger,49.1%
Beastmaster,49.0%
Riki,48.9%
Juggernaut,48.8%
Rubick,48.8%
Muerta,48.8%
Queen of Pain,48.7%
Troll Warlord,48.6%
Storm Spirit,48.5%
Sand King,48.3%
Huskar,48.2%
Sven,47.9%
Hoodwink,47.8%
Broodmother,47.6%
Bristleback,47.6%
Medusa,47.6%
Mars,47.4%
Tusk,47.4%
Sniper,47.2%
Silencer,47.1%
Batrider,47.0%
Wraith King,46.8%
Grimstroke,46.5%
Pudge,46.5%
Enchantress,46.5%
Techies,46.5%
Witch Doctor,46.4%
Outworld Destroyer,46.3%
Pangolier,46.2%
Templar Assassin,46.1%
Shadow Fiend,45.4%
Ancient Apparition,45.1%
Nature's Prophet,45.0%
Dazzle,45.0%
Naga Siren,44.8%
Warlock,44.2%
Luna,44.0%
Necrophos,43.8%
Death Prophet,43.3%
Venomancer,43.1%
Windranger,42.5%
Mirana,41.4%
